"GEOID","mean_EV_range"
19129,246.810406035057
19131,243.73576686195
19133,247.11421026572
19135,247.358988764045
19137,244.514817572599
19139,240.611266887586
19141,241.495191691242
19143,245.439593047902
19145,244.452325723355
19147,243.885504389894
19149,242.017129356172
19151,245.964749176835
19153,229.140638063806
19155,237.167929405473
19157,244.728732117506
19159,252.372558965255
19161,247.590979782271
19163,233.377880184332
19165,244.320374275171
19167,241.080052091313
19169,235.714639338581
19171,244.248301886792
19173,249.324216284452
19175,244.276077018978
19177,247.450685947349
19179,239.476701999004
19181,238.960375146542
19183,241.518831397395
19185,249.82772572402
19187,239.773039287279
19189,242.816855502095
19191,242.538295021132
19193,235.454047180567
19195,245.01551691905
19197,242.622693364743
20000,247.25641025641
20001,248.440134907251
20003,248.395001797914
20005,246.4409139593
20007,257.241580851656
20009,246.346844535659
20011,247.436934608426
20013,245.015453960077
20015,244.813413843006
20017,255.166534496431
20019,257.952068965517
20021,249.042716433385
20023,254.812403100775
20025,257.832328767123
20027,248.408043940468
20029,246.730225248821
20031,250.259705698184
20033,261.441558441558
20035,245.043706552285
20037,244.333308963299
20039,254.148524923703
20041,246.801652070064
20043,250.590863952334
20045,235.819182795699
20047,258.753099173554
20049,259.823505654281
20051,244.231659588642
20053,252.199506283662
20055,242.308984047019
20057,244.162772401857
20059,243.897741273101
20061,241.962827640985
20063,254.582456140351
20065,251.711939636041
20067,250.545728038508
20069,253.272497365648
20071,257.348314606742
20073,256.667121418827
20075,256.059413890004
20077,251.748729121278
20079,241.910427906289
20081,255.748471882641
20083,259.295668549906
20085,248.663393558523
20087,247.268762088975
20089,255.601848560256
20091,231.547384871848
20093,253.489375
20095,252.625904486252
20097,250.243255813953
20099,246.458833014209
20101,260.074688796681
20103,239.754862524253
20105,254.163366336634
20107,248.904462854089
20109,253.622353349531
20111,243.740257635907
20113,244.770593649333
20115,248.246507254164
20117,251.75772155828
20119,256.230814294083
20121,243.632419613587
20123,252.09128716989
20125,245.460913623934
20127,252.722593582888
20129,253.618130766145
20131,248.433632498819
20133,247.849629539657
20135,261.05527638191
20137,252.169449289808
20139,246.9013016412
20141,252.360354848578
20143,252.028289755679
20145,250.999275187243
20147,253.047431744563
20149,242.613353388485
20151,250.260727772056
20153,256.109751575825
20155,238.779763839237
20157,250.932692307692
20159,249.973978315263
20161,239.841814801905
20163,252.497504159734
20165,252.979834710744
20167,250.394358088659
20169,237.717175657601
20171,256.273344651952
20173,231.597007448708
20175,244.926083170041
20177,234.242703735424
20179,257.508723235527
20181,248.946381288614
20183,254.539151225344
20185,256.629163168206
20187,252.789741219963
20189,254.741656050955
20191,247.92276903484
20193,249.495394618024
20195,257.094313925775
20197,249.982485875706
20199,260.523243243243
20201,252.325448970653
20203,257.421195652174
20205,252.537764839075
20207,255.668801138385
20209,232.195392080602
21000,245.67277486911
21001,246.679150933769
21003,247.285875243265
21005,243.332719819292
21007,250.194741784038
21009,244.510666922929
21011,246.405011899762
21013,245.610496941075
21015,233.933383886256
21017,247.20917236728
21019,238.036457326892
21021,242.200578034682
21023,247.474757952974
21025,244.071907957814
21027,246.658173076923
21029,238.833050287763
21031,246.818899745683
21033,248.112931858528
21035,243.129548329489
21037,235.704607435051
21039,249.253884572697
21041,246.054426024398
21043,244.547114947751
21045,244.630442648655
21047,241.440567187327
21049,242.534191358461
21051,246.146850444416
21053,250.304718217562
21055,248.257122379502
21057,249.522751322751
21059,238.1806476617
21061,247.132825258574
21063,249.91432981734
21065,246.046657754011
21067,232.162785963305
21069,247.031277477704
21071,243.699051940686
21073,238.221780237519
21075,242.688337610493
21077,243.380994989263
21079,245.590329151925
21081,243.41817682592
21083,244.804940813176
21085,243.593352965923
21087,247.714880952381
21089,241.576817201101
21091,247.638098542679
21093,238.107482379938
21095,243.728482328482
21097,246.167066931189
21099,243.815272806161
21101,242.404277124898
21103,246.534973097617
21105,251.045020870602
21107,242.546152332218
21109,248.145758832785
21111,229.427162080435
21113,237.610280898876
21115,246.130449069003
21117,233.303571428571
21119,246.489352196575
21121,242.351807435326
21123,245.073258319368
21125,240.062626603646
21127,245.834131814062
21129,248.269089236431
21131,250.499027237354
21133,246.102506184791
21135,248.793093566414
21137,244.904828097489
21139,250.213659961064
21141,244.735862853429
21143,249.132792327554
21145,238.641815973277
21147,245.185494742518
21149,248.415418652144
21151,238.894576082932
21153,250.492196484311
21155,246.964551050732
21157,245.333851506403
21159,249.084066471163
21161,244.215255407271
21163,244.827627011676
21165,249.107759562842
21167,245.558839528558
21169,246.697463489623
21171,251.380147510756
21173,243.981375606376
21175,249.561040105773
21177,245.551833070081
21179,243.975374862855
21181,251.499794153973
21183,244.618279065403
21185,238.666442083441
21187,246.706726825267
21189,250.75083948959
21191,246.77657480315
21193,242.555675041549
21195,244.859728506787
21197,245.091529277999
21199,240.131710808876
21201,251.588028169014
21203,245.400688999762
21205,242.563761693747
21207,245.183011339773
21209,241.605830315265
21211,241.954871018459
21213,245.846322837117
21215,245.771114782778
21217,244.395251271981
21219,247.666807790008
21221,246.05283999505
21223,247.764632848528
21225,250.040026863667
21227,238.201343548326
21229,246.776329930145
21231,245.276136601718
21233,246.379668901355
21235,241.367149390244
21237,249.501206934387
21239,242.292883653381
22000,257.533333333333
22001,248.24051262909
22003,250.705086705202
22005,243.997127937337
22007,251.187163213986
22009,251.17033844189
22011,248.629040969061
22013,251.984255202629
22015,241.37291987986
22017,236.064359267735
22019,242.360220233999
22021,256.367844966804
22023,261.986095537116
22025,254.015515903801
22027,250.305298570227
22029,250.119917917148
22031,249.874522071602
22033,235.945463414634
22035,251.461876832845
22037,249.689871996407
22039,249.089020492574
22041,251.919213973799
22043,252.850973165956
22045,245.990078544853
22047,250.699535747447
22049,250.860052910053
22051,230.933376439283
22053,250.751894591802
22055,239.015679012346
22057,246.098387010342
22059,255.056590359733
22061,244.096737986671
22063,243.48272470709
22065,250.353371242892
22067,247.071873117848
22069,247.781436667177
22071,230.265392717424
22073,239.594938162882
22075,247.777135782088
22077,252.474108293941
22079,241.789368664698
22081,252.237950664137
22083,250.131581927302
22085,252.753634655326
22087,239.416053194016
22089,242.624684649719
22091,248.899221032132
22093,249.342452940489
22095,240.549927970278
22097,244.782268439108
22099,248.265009792666
22101,245.525232164711
22103,236.690769505445
22105,240.56348670325
22107,257.20504947117
22109,244.230854232728
22111,251.456284987277
22113,249.769281607296
22115,247.928861653234
22117,246.042478416991
22119,247.869378093394
22121,249.096590909091
22123,256.033017270572
22125,253.271353370691
22127,252.622763273687
23000,251.791666666667
23001,233.765912777937
23003,242.14571236477
23005,231.658456728217
23007,243.258845944475
23009,238.347146899316
23011,237.541489687787
23013,239.312522070768
23015,241.499551703527
23017,238.72033794539
23019,237.590855179747
23021,247.344103194103
23023,240.695088785794
23025,243.258880066862
23027,239.150513196481
23029,243.812035216685
23031,234.35683308119
24000,213.626262626263
24001,235.635332059245
24003,229.609684519442
24005,228.931753060693
24009,236.747819859291
24011,238.77076318743
24013,234.789391423269
24015,236.483786382309
24017,233.396689399911
24019,238.376635930993
24021,232.892138338947
24023,244.536073381549
24025,233.210549360733
24027,229.343103877771
24029,241.308989840905
24031,226.461456142986
24033,226.277658990709
24035,237.814166936616
24037,235.455240045685
24039,240.426825542316
24041,237.867371695179
24043,231.193167305236
24045,231.358889874541
24047,233.465498825037
24510,224.543154647127
25000,212.8
25001,230.888386300887
25003,232.479137990365
25005,228.814895845456
25007,231.097222222222
25009,227.652580695462
25011,235.400090467036
25013,228.150259067358
25015,231.453854870525
25017,226.789007186115
25019,233.004495747266
25021,229.107024966293
25023,230.724525063762
25025,225.288241838756
25027,229.06237148732
26000,236.522123893805
26001,245.141645885287
26003,249.320127118644
26005,237.390673328575
26007,242.92250552098
